year,fcode,employ,sales,avgsal,scrap,rework,tothrs,union,grant,d89,d88,totrain,hrsemp,lscrap,lemploy,lsales,lrework,lhrsemp,lscrap_1,grant_1,clscrap,cgrant,clemploy,clsales,lavgsal,clavgsal,cgrant_1,chrsemp,clhrsemp
1987,410032,100,47000000,35000,#N/A,#N/A,12,0,0,0,0,100,12,#N/A,4.60517025,17.66565895,#N/A,2.564949274,#N/A,0,#N/A,0,#N/A,#N/A,10.46310329,#N/A,#N/A,#N/A,#N/A
1988,410032,131,43000000,37000,#N/A,#N/A,8,0,0,0,1,50,3.053435087,#N/A,4.875197411,17.57670975,#N/A,1.399564743,#N/A,0,#N/A,0,0.270027161,-0.088949203,10.51867294,0.055569649,0,-8.946564674,-1.165384531
1989,410032,123,49000000,39000,#N/A,#N/A,8,0,0,1,0,50,3.252032518,#N/A,4.812184334,17.7073307,#N/A,1.447397113,#N/A,0,#N/A,0,-0.063013077,0.130620956,10.57131672,0.052643776,0,0.198597431,0.04783237
1987,410440,12,1560000,10500,#N/A,#N/A,12,0,0,0,0,12,12,#N/A,2.484906673,14.26019669,#N/A,2.564949274,#N/A,0,#N/A,0,#N/A,#N/A,9.259130478,#N/A,#N/A,#N/A,#N/A
1988,410440,13,1970000,11000,#N/A,#N/A,12,0,0,0,1,13,12,#N/A,2.564949274,14.49354362,#N/A,2.564949274,#N/A,0,#N/A,0,0.080042601,0.233346939,9.305650711,0.046520233,0,0,0
1989,410440,14,2350000,11500,#N/A,#N/A,10,0,0,1,0,14,10,#N/A,2.639057398,14.66992569,#N/A,2.397895336,#N/A,0,#N/A,0,0.074108124,0.176382065,9.350102425,0.044451714,0,-2,-0.167053938
1987,410495,20,750000,17680,#N/A,#N/A,50,0,0,0,0,15,37.5,#N/A,2.995732307,13.52782822,#N/A,3.650658131,#N/A,0,#N/A,0,#N/A,#N/A,9.780189514,#N/A,#N/A,#N/A,#N/A
1988,410495,25,110000,18720,#N/A,#N/A,50,0,0,0,1,10,20,#N/A,3.218875885,11.60823536,#N/A,3.044522524,#N/A,0,#N/A,0,0.223143578,-1.919592857,9.837347984,0.05715847,0,-17.5,-0.606135607
1989,410495,24,950000,19760,#N/A,#N/A,50,0,0,1,0,20,41.66666794,#N/A,3.178053856,13.76421738,#N/A,3.753417969,#N/A,0,#N/A,0,-0.040822029,2.155982018,9.891414642,0.054066658,0,21.66666794,0.708895445
1987,410500,200,23741000,13729,#N/A,#N/A,0,0,0,0,0,0,0,#N/A,5.298317432,16.9827137,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,9.527265549,#N/A,#N/A,#N/A,#N/A
1988,410500,155,19659000,14287,#N/A,#N/A,0,0,0,0,1,0,0,#N/A,5.043425083,16.7940464,#N/A,0,#N/A,0,#N/A,0,-0.254892349,-0.188667297,9.567105293,0.039839745,0,0,0
1989,410500,80,25992000,15758,#N/A,#N/A,24,0,0,1,0,20,6,#N/A,4.382026672,17.07329941,#N/A,1.945910096,#N/A,0,#N/A,0,-0.661398411,0.279253006,9.665103912,0.097998619,0,6,1.945910096
1987,410501,#N/A,6000000,#N/A,#N/A,#N/A,0,0,0,0,0,10,#N/A,#N/A,#N/A,15.60727024,#N/A,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1988,410501,#N/A,8000000,#N/A,#N/A,#N/A,0,0,0,0,1,20,#N/A,#N/A,#N/A,15.89495182,#N/A,#N/A,#N/A,0,#N/A,0,#N/A,0.28768158,#N/A,#N/A,0,#N/A,#N/A
1989,410501,#N/A,10000000,#N/A,#N/A,#N/A,0,0,0,1,0,25,#N/A,#N/A,#N/A,16.1180954,#N/A,#N/A,#N/A,0,#N/A,0,#N/A,0.223143578,#N/A,#N/A,0,#N/A,#N/A
1987,410509,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1988,410509,#N/A,2800000,18000,#N/A,#N/A,0,0,0,0,1,0,#N/A,#N/A,#N/A,14.84512997,#N/A,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,9.798127174,#N/A,0,#N/A,#N/A
1989,410509,20,3400000,18500,#N/A,#N/A,0,0,0,1,0,0,0,#N/A,2.995732307,15.03928566,#N/A,0,#N/A,0,#N/A,0,#N/A,0.194155693,9.825526237,0.027399063,0,#N/A,#N/A
1987,410513,15,1413900,18465,#N/A,#N/A,0,0,0,0,0,0,0,#N/A,2.708050251,14.16186237,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,9.82363224,#N/A,#N/A,#N/A,#N/A
1988,410513,16,1869348,18972,#N/A,#N/A,0,0,0,0,1,0,0,#N/A,2.77258873,14.44110012,#N/A,0,#N/A,0,#N/A,0,0.064538479,0.279237747,9.850719452,0.027087212,0,0,0
1989,410513,16,1857765,19589,#N/A,#N/A,20,0,0,1,0,16,20,#N/A,2.77258873,14.43488503,#N/A,3.044522524,#N/A,0,#N/A,0,0,-0.006215096,9.882723808,0.032004356,0,20,3.044522524
1987,410517,24,#N/A,13000,#N/A,#N/A,0,1,0,0,0,0,0,#N/A,3.178053856,#N/A,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,9.472704887,#N/A,#N/A,#N/A,#N/A
1988,410517,20,#N/A,12168,#N/A,#N/A,0,1,0,0,1,0,0,#N/A,2.995732307,#N/A,#N/A,0,#N/A,0,#N/A,0,-0.182321548,#N/A,9.406564713,-0.066140175,0,0,0
1989,410517,18,#N/A,11960,#N/A,#N/A,0,1,0,1,0,0,0,#N/A,2.890371799,#N/A,#N/A,0,#N/A,0,#N/A,0,-0.105360508,#N/A,9.389323235,-0.017241478,0,0,0
1987,410518,48,2160900,14352,#N/A,#N/A,14,0,0,0,0,3,0.875,#N/A,3.871201038,14.58603573,#N/A,0.628608644,#N/A,0,#N/A,0,#N/A,#N/A,9.571644783,#N/A,#N/A,#N/A,#N/A
1988,410518,47,2454500,16328,#N/A,#N/A,14,0,0,0,1,3,0.893617034,#N/A,3.850147486,14.71343327,#N/A,0.63848877,#N/A,0,#N/A,0,-0.021053553,0.127397537,9.700636864,0.128992081,0,0.018617034,0.009880126
1989,410518,66,3359800,17555,#N/A,#N/A,14,0,0,1,0,4,0.848484874,#N/A,4.189654827,15.02739239,#N/A,0.614366293,#N/A,0,#N/A,0,0.339507341,0.313959122,9.773094177,0.072457314,0,-0.04513216,-0.024122477
1987,410521,17,1453081,16454,#N/A,#N/A,150,0,0,0,0,5,44.11764526,#N/A,2.833213329,14.18919659,#N/A,3.809273481,#N/A,0,#N/A,0,#N/A,#N/A,9.708323479,#N/A,#N/A,#N/A,#N/A
1988,410521,16,1546911,18529,#N/A,#N/A,100,0,0,0,1,3,18.75,#N/A,2.77258873,14.25177097,#N/A,2.983153582,#N/A,0,#N/A,0,-0.060624599,0.062574387,9.827092171,0.118768692,0,-25.36764526,-0.8261199
1989,410521,14,1672366,26428,#N/A,#N/A,0,0,0,1,0,0,0,#N/A,2.639057398,14.32975006,#N/A,0,#N/A,0,#N/A,0,-0.133531332,0.077979088,10.18217945,0.35508728,0,-18.75,-2.983153582
1987,410523,70,8000000,19760,0.059999999,#N/A,40,0,0,0,0,35,20,-2.813410759,4.248495102,15.89495182,#N/A,3.044522524,#N/A,0,#N/A,0,#N/A,#N/A,9.891414642,#N/A,#N/A,#N/A,#N/A
1988,410523,85,11000000,22360,0.050000001,#N/A,40,0,0,0,1,40,18.8235302,-2.995732307,4.442651272,16.21340561,#N/A,2.986869574,-2.813410759,0,-0.182321548,0,0.19415617,0.318453789,10.01502895,0.123614311,0,-1.176469803,-0.05765295
1989,410523,98,15000000,23920,0.050000001,#N/A,60,0,0,1,0,40,24.48979568,-2.995732307,4.584967613,16.52356148,#N/A,3.238278151,-2.995732307,0,0,0,0.142316341,0.310155869,10.08246994,0.067440987,0,5.666265488,0.251408577
1987,410529,45,1535242,20000,#N/A,#N/A,0,0,0,0,0,0,0,#N/A,3.80666256,14.2441988,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,9.903487206,#N/A,#N/A,#N/A,#N/A
1988,410529,47,3209188,22000,#N/A,#N/A,0,0,0,0,1,0,0,#N/A,3.850147486,14.98152828,#N/A,0,#N/A,0,#N/A,0,0.043484926,0.737329483,9.998797417,0.095310211,0,0,0
1989,410529,51,4030352,23650,#N/A,#N/A,2,0,0,1,0,2,0.078431375,#N/A,3.931825638,15.20936394,#N/A,0.075507551,#N/A,0,#N/A,0,0.081678152,0.227835655,10.07111835,0.072320938,0,0.078431375,0.075507551
1987,410531,200,10000000,17500,#N/A,5,0,1,0,0,0,0,0,#N/A,5.298317432,16.1180954,1.609437943,0,#N/A,0,#N/A,0,#N/A,#N/A,9.769956589,#N/A,#N/A,#N/A,#N/A
1988,410531,200,10000000,18700,#N/A,4,20,1,0,0,1,6,0.600000024,#N/A,5.298317432,16.1180954,1.386294365,0.470003635,#N/A,0,#N/A,0,0,0,9.836278915,0.066322327,0,0.600000024,0.470003635
1989,410531,190,9000000,18300,#N/A,2.220000029,20,1,0,1,0,10,1.052631617,#N/A,5.247024059,16.01273537,0.797507226,0.719122708,#N/A,0,#N/A,0,-0.051293373,-0.105360031,9.814656258,-0.021622658,0,0.452631593,0.249119073
1987,410533,14,1600000,11500,#N/A,#N/A,68,0,0,0,0,3,14.5714283,#N/A,2.639057398,14.28551388,#N/A,2.745437622,#N/A,0,#N/A,0,#N/A,#N/A,9.350102425,#N/A,#N/A,#N/A,#N/A
1988,410533,12,900000,13000,#N/A,#N/A,75,0,0,0,1,5,31.25,#N/A,2.484906673,13.71014977,#N/A,3.473518133,#N/A,0,#N/A,0,-0.154150724,-0.575364113,9.472704887,0.122602463,0,16.6785717,0.728080511
1989,410533,16,1300000,14700,#N/A,#N/A,35,0,0,1,0,9,19.6875,#N/A,2.77258873,14.07787514,#N/A,3.029529572,#N/A,0,#N/A,0,0.287682056,0.367725372,9.595602989,0.122898102,0,-11.5625,-0.443988562
1987,410535,10,420664,4237,#N/A,#N/A,0,0,0,0,0,0,0,#N/A,2.302585125,12.94958973,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,8.351611137,#N/A,#N/A,#N/A,#N/A
1988,410535,11,544602,7484,#N/A,#N/A,0,0,0,0,1,0,0,#N/A,2.397895336,13.2078104,#N/A,0,#N/A,0,#N/A,0,0.095310211,0.258220673,8.92052269,0.568911552,0,0,0
1989,410535,9,495331,9548,#N/A,#N/A,0,0,0,1,0,0,0,#N/A,2.197224617,13.1129818,#N/A,0,#N/A,0,#N/A,0,-0.200670719,-0.094828606,9.164087296,0.243564606,0,0,0
1987,410536,15,1502502,11742,#N/A,#N/A,12,0,0,0,0,2,1.600000024,#N/A,2.708050251,14.22264194,#N/A,0.955511451,#N/A,0,#N/A,0,#N/A,#N/A,9.370927811,#N/A,#N/A,#N/A,#N/A
1988,410536,16,1840912,12740,#N/A,#N/A,12,0,0,0,1,2,1.5,#N/A,2.77258873,14.42577171,#N/A,0.91629076,#N/A,0,#N/A,0,0.064538479,0.203129768,9.452502251,0.08157444,0,-0.100000024,-0.039220691
1989,410536,18,2273869,13700,#N/A,#N/A,8,0,0,1,0,3,1.333333373,#N/A,2.890371799,14.63699341,#N/A,0.847297907,#N/A,0,#N/A,0,0.11778307,0.211221695,9.525151253,0.072649002,0,-0.166666627,-0.068992853
1987,410538,#N/A,#N/A,19760,2.640000105,#N/A,0,1,0,0,0,0,#N/A,0.970778942,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,9.891414642,#N/A,#N/A,#N/A,#N/A
1988,410538,#N/A,6276271,20800,2.74000001,#N/A,0,1,0,0,1,0,#N/A,1.007957935,#N/A,15.65228653,#N/A,#N/A,0.970778942,0,0.037178993,0,#N/A,#N/A,9.942708015,0.051293373,0,#N/A,#N/A
1989,410538,60,5286605,20800,2.539999962,#N/A,30,1,0,1,0,50,25,0.932164073,4.094344616,15.48068714,#N/A,3.258096457,1.007957935,0,-0.075793862,0,#N/A,-0.171599388,9.942708015,0,0,#N/A,#N/A
1987,410540,50,5200000,20000,#N/A,#N/A,0,0,0,0,0,0,0,#N/A,3.912023067,15.4641695,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,9.903487206,#N/A,#N/A,#N/A,#N/A
1988,410540,50,6500000,23000,#N/A,#N/A,0,0,0,0,1,0,0,#N/A,3.912023067,15.68731308,#N/A,0,#N/A,0,#N/A,0,0,0.223143578,10.04324913,0.139761925,0,0,0
1989,410540,55,5600000,25000,#N/A,#N/A,0,0,0,1,0,0,0,#N/A,4.007333279,15.53827763,#N/A,0,#N/A,0,#N/A,0,0.095310211,-0.149035454,10.12663078,0.083381653,0,0,0
1987,410544,30,#N/A,19760,#N/A,#N/A,0,0,0,0,0,0,0,#N/A,3.401197433,#N/A,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,9.891414642,#N/A,#N/A,#N/A,#N/A
1988,410544,32,#N/A,20280,#N/A,#N/A,10,0,0,0,1,4,1.25,#N/A,3.465735912,#N/A,#N/A,0.810930192,#N/A,0,#N/A,0,0.064538479,#N/A,9.917390823,0.025976181,0,1.25,0.810930192
1989,410544,34,#N/A,20800,#N/A,#N/A,10,0,0,1,0,6,1.764705896,#N/A,3.526360512,#N/A,#N/A,1.016934276,#N/A,0,#N/A,0,0.060624599,#N/A,9.942708015,0.025317192,0,0.514705896,0.206004083
1987,410546,153,10000000,12500,#N/A,#N/A,8,0,0,0,0,7,0.36601308,#N/A,5.030437946,16.1180954,#N/A,0.311896324,#N/A,0,#N/A,0,#N/A,#N/A,9.433484077,#N/A,#N/A,#N/A,#N/A
1988,410546,134,11000000,13000,#N/A,#N/A,8,0,0,0,1,6,0.358208954,#N/A,4.897840023,16.21340561,#N/A,0.306166887,#N/A,0,#N/A,0,-0.132597923,0.095310211,9.472704887,0.03922081,0,-0.007804126,-0.005729437
1989,410546,146,12000000,13500,#N/A,#N/A,40,0,0,1,0,28,7.6712327,#N/A,4.983606815,16.30041695,#N/A,2.160011053,#N/A,0,#N/A,0,0.085766792,0.087011337,9.510444641,0.037739754,0,7.313023567,1.853844166
1987,410547,20,2300000,20000,#N/A,10,0,0,0,0,0,0,0,#N/A,2.995732307,14.64841938,2.302585125,0,#N/A,0,#N/A,0,#N/A,#N/A,9.903487206,#N/A,#N/A,#N/A,#N/A
1988,410547,23,2500000,23000,#N/A,10,0,0,0,0,1,0,0,#N/A,3.135494232,14.73180103,2.302585125,0,#N/A,0,#N/A,0,0.139761925,0.083381653,10.04324913,0.139761925,0,0,0
1989,410547,25,3000000,25000,#N/A,10,48,0,0,1,0,1,1.919999957,#N/A,3.218875885,14.91412258,2.302585125,1.071583629,#N/A,0,#N/A,0,0.083381653,0.182321548,10.12663078,0.083381653,0,1.919999957,1.071583629
1987,410556,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1988,410556,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A
1989,410556,131,7588770,16640,#N/A,#N/A,0,0,0,1,0,0,0,#N/A,4.875197411,15.84218025,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,9.719564438,#N/A,0,#N/A,#N/A
1987,410560,22,725000,9000,#N/A,#N/A,0,0,0,0,0,0,0,#N/A,3.091042519,13.493927,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,9.104979515,#N/A,#N/A,#N/A,#N/A
1988,410560,25,785000,9000,#N/A,#N/A,0,0,0,0,1,0,0,#N/A,3.218875885,13.57343864,#N/A,0,#N/A,0,#N/A,0,0.127833366,0.079511642,9.104979515,0,0,0,0
1989,410560,23,785000,10000,#N/A,#N/A,0,0,0,1,0,0,0,#N/A,3.135494232,13.57343864,#N/A,0,#N/A,0,#N/A,0,-0.083381653,0,9.2103405,0.105360985,0,0,0
1987,410561,6,501859,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,#N/A,1.791759491,13.12607479,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1988,410561,6,580415,#N/A,#N/A,#N/A,0,0,0,0,1,0,0,#N/A,1.791759491,13.27149868,#N/A,0,#N/A,0,#N/A,0,0,0.145423889,#N/A,#N/A,0,0,0
1989,410561,9,735442,#N/A,#N/A,#N/A,64,0,0,1,0,1,7.111111164,#N/A,2.197224617,13.50822735,#N/A,2.093234777,#N/A,0,#N/A,0,0.405465126,0.236728668,#N/A,#N/A,0,7.111111164,2.093234777
1987,410562,15,4000000,32000,#N/A,#N/A,10,0,0,0,0,2,1.333333373,#N/A,2.708050251,15.20180511,#N/A,0.847297907,#N/A,0,#N/A,0,#N/A,#N/A,10.37349129,#N/A,#N/A,#N/A,#N/A
1988,410562,18,5000000,34000,#N/A,#N/A,10,0,0,0,1,2,1.111111164,#N/A,2.890371799,15.42494869,#N/A,0.747214437,#N/A,0,#N/A,0,0.182321548,0.223143578,10.43411541,0.060624123,0,-0.222222209,-0.10008347
1989,410562,19,7000000,38000,#N/A,#N/A,25,0,0,1,0,6,7.894736767,#N/A,2.944438934,15.76142025,#N/A,2.185459614,#N/A,0,#N/A,0,0.054067135,0.336471558,10.54534149,0.111226082,0,6.783625603,1.438245177
1987,410563,73,5300000,21500,6,#N/A,0,1,0,0,0,0,0,1.791759491,4.290459633,15.48321724,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,9.975808144,#N/A,#N/A,#N/A,#N/A
1988,410563,76,5800000,22200,7,#N/A,0,1,0,0,1,0,0,1.945910096,4.330733299,15.57336807,#N/A,0,1.791759491,0,0.154150605,0,0.040273666,0.090150833,10.00784779,0.032039642,0,0,0
1989,410563,80,6400000,23000,5,#N/A,50,1,0,1,0,8,5,1.609437943,4.382026672,15.67180824,#N/A,1.791759491,1.945910096,0,-0.336472154,0,0.051293373,0.09844017,10.04324913,0.035401344,0,5,1.791759491
1987,410564,160,#N/A,20000,#N/A,4.300000191,20,0,0,0,0,15,1.875,#N/A,5.075173855,#N/A,1.458615065,1.056052685,#N/A,0,#N/A,0,#N/A,#N/A,9.903487206,#N/A,#N/A,#N/A,#N/A
1988,410564,150,#N/A,21000,#N/A,4.099999905,20,0,0,0,1,20,2.666666746,#N/A,5.010635376,#N/A,1.4109869,1.299283028,#N/A,0,#N/A,0,-0.064538479,#N/A,9.952278137,0.048790932,0,0.791666746,0.243230343
1989,410564,150,#N/A,22000,#N/A,4,25,0,0,1,0,35,5.833333492,#N/A,5.010635376,#N/A,1.386294365,1.921812654,#N/A,0,#N/A,0,0,#N/A,9.998797417,0.046519279,0,3.166666746,0.622529626
1987,410565,90,#N/A,20620,21,#N/A,0,1,0,0,0,0,0,3.044522524,4.499809742,#N/A,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,9.934017181,#N/A,#N/A,#N/A,#N/A
1988,410565,112,21780000,20180,11,#N/A,0,1,0,0,1,0,0,2.397895336,4.718498707,16.89650345,#N/A,0,3.044522524,0,-0.646627188,0,0.218688965,#N/A,9.912446976,-0.021570206,0,0,0
1989,410565,128,25829000,21500,0.400000006,#N/A,16,1,0,1,0,128,16,-0.9162907,4.852030277,17.06700897,#N/A,2.833213329,2.397895336,0,-3.314186096,0,0.13353157,0.170505524,9.975808144,0.063361168,0,16,2.833213329
1987,410566,14,2101581,14850,7,#N/A,8,0,0,0,0,12,6.857142925,1.945910096,2.639057398,14.55820084,#N/A,2.061423063,#N/A,0,#N/A,0,#N/A,#N/A,9.605754852,#N/A,#N/A,#N/A,#N/A
1988,410566,16,2400723,18100,5,#N/A,3,0,0,0,1,10,1.875,1.609437943,2.77258873,14.69128036,#N/A,1.056052685,1.945910096,0,-0.336472154,0,0.133531332,0.133079529,9.803667068,0.197912216,0,-4.982142925,-1.005370378
1989,410566,13,2470633,20500,4.5,#N/A,4,0,0,1,0,10,3.076923132,1.504077435,2.564949274,14.71998501,#N/A,1.405342579,1.609437943,0,-0.105360508,0,-0.207639456,0.028704643,9.928179741,0.124512672,0,1.201923132,0.349289894
1987,410567,40,3000000,10000,1,0.5,0,0,0,0,0,0,0,0,3.68887949,14.91412258,-0.693147182,0,#N/A,0,#N/A,0,#N/A,#N/A,9.2103405,#N/A,#N/A,#N/A,#N/A
1988,410567,48,3800000,11000,0.5,0.25,0,0,0,0,1,0,0,-0.693147182,3.871201038,15.15051174,-1.386294365,0,0,0,-0.693147182,0,0.182321548,0.23638916,9.305650711,0.095310211,0,0,0
1989,410567,50,3100000,11500,0.280000001,0.129999995,16,0,0,1,0,50,16,-1.27296567,3.912023067,14.94691277,-2.040220976,2.833213329,-0.693147182,0,-0.579818487,0,0.040822029,-0.203598976,9.350102425,0.044451714,0,16,2.833213329
1987,410569,20,#N/A,26000,#N/A,#N/A,0,0,0,0,0,0,0,#N/A,2.995732307,#N/A,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,10.16585159,#N/A,#N/A,#N/A,#N/A
1988,410569,24,#N/A,28000,#N/A,#N/A,0,0,0,0,1,0,0,#N/A,3.178053856,#N/A,#N/A,0,#N/A,0,#N/A,0,0.182321548,#N/A,10.23995972,0.074108124,0,0,0
1989,410569,30,#N/A,30000,#N/A,#N/A,0,0,0,1,0,0,0,#N/A,3.401197433,#N/A,#N/A,0,#N/A,0,#N/A,0,0.223143578,#N/A,10.30895233,0.068992615,0,0,0
1987,410571,17,755050,10400,#N/A,0.01,25,0,0,0,0,17,25,#N/A,2.833213329,13.53453922,-4.60517025,3.258096457,#N/A,0,#N/A,0,#N/A,#N/A,9.24956131,#N/A,#N/A,#N/A,#N/A
1988,410571,15,1102723,10400,#N/A,0.01,25,0,0,0,1,15,25,#N/A,2.708050251,13.91329288,-4.60517025,3.258096457,#N/A,0,#N/A,0,-0.125163078,0.378753662,9.24956131,0,0,0,0
